ID;nr;date;persTag;sex;fn_role;dead;minor;jungfrau;title;prof;staff;off;place;org-pers;sameAs;Kommentar;;;;;;;;;;
129;118;1397-02-17;pe__niklas_reblein_StB_I_118;m;weisend/other;dead;;;;;;;;;;;;;;;;;;;;
130;118;1397-02-17;pe__heinrich_dawcher_StB_I_118;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
131;118;1397-02-17;pe__johann_paldweyn_StB_I_118;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
132;118;1397-02-17;pe__peter_suzzprot_StB_I_118;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
133;118;1397-02-17;pe__niklas_von_der_igla_StB_I_118;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
134;118;1397-02-17;pe__katharina_sweblin_StB_I_118;f;gewiesen;;minor;;;;;;;;;;;;;;;;;;;
135;118;1397-02-17;pe__anna_sweblin_StB_I_118;f;gewiesen;;minor;;;;;;;;;;;;;;;;;;;
136;118;1397-02-17;pe__diemut_reblin_StB_I_118;f;gewiesen;;;jungfrau;;;;;;;;;;;;;;;;;;
137;118;1397-02-17;pe__johann_lederer_StB_I_118;m;gewiesen/other;dead;;;;;;;;;;;;;;;;;;;;
138;118;1397-02-17;pe__peter_ledrer_StB_I_118;m;gewiesen;dead;;;;;;;;;;;;;;;;;;;;
139;118;1397-02-17;pe__konrad_ledrer_StB_I_118;m;gewiesen;dead;;;;;;;;;;;;;;;;;;;;
140;118;1397-02-17;pe__margarethe_ledererin_StB_I_118;f;gewiesen/other;;;;;;;;;;;;;;;;;;;;;
141;134;1397-04-03;pe__katharina_hasendorferin_StB_I_134;f;weisend;;;;;;;;;;;;;;;;;;;;;
142;134;1397-04-03;pe__konrad_hasendorfer_StB_I_134;m;weisend/other;dead;;;;ledere;;;;;;;;;;;;;;;;
143;134;1397-04-03;pe__jakob_flaschner_StB_I_134;m;witness;;;;erbere lewte;fischer;;;;;;;;;;;;;;;;
144;134;1397-04-03;pe__wolfhard_swayger_StB_I_134;m;witness;;;;erbere lewte;fischer;;;;;;;;;;;;;;;;
145;134;1397-04-03;pe__meinhard_vischer_StB_I_134;m;gewiesen;;;;;;;;;;;;;;;;;;;;;
146;136;1397-04-05;pe__jakob_gunser_StB_I_136;m;weisend;;;;;;;rat;wien;;;;;;;;;;;;;
147;136;1397-04-05;pe__berthold_gevater_StB_I_136;m;witness;;;;erbere lewte;;;rat;wien;;;;;;;;;;;;;
148;136;1397-04-05;pe__ulrich_rude_StB_I_136;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
149;136;1397-04-05;pe__anna_gunserin_StB_I_136;f;gewiesen;;;;;;;;;;;;;;;;;;;;;
150;136;1397-04-05;pe__niklas_des_hosen_sun_StB_I_136;m;gewiesen;;;;;;;;;;;;;;;;;;;;;
151;136;1397-04-05;pe__niklas_hosen_StB_I_136;m;gewiesen/other;;;;;;;;;;;;;;;;;;;;;
152;136;1397-04-05;pe__brigitta_hosin_StB_I_136;f;gewiesen;;;;fraw;;;;;;;;;;;;;;;;;
153;137;1397-04-05;pe__niklas_chuen_StB_I_137;m;weisend;;;;;;;;;;;;;;;;;;;;;
154;137;1397-04-05;pe__rudolf_payr_StB_I_137;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
155;137;1397-04-05;pe__konrad_cherphenhawbt_StB_I_137;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
156;137;1397-04-05;pe__katharina_chuenin_StB_I_137;f;gewiesen;;;;;;;;;;;;;;;;;;;;;
157;137;1397-04-05;pe__brigitta_hosin_StB_I_136;f;gewiesen;;;;fraw;;;;;;;;;;;;;;;;;
158;137;1397-04-05;pe__niklas_hosen_StB_I_136;m;gewiesen/other;;;;;;;;;;;;;;;;;;;;;
159;137;1397-04-05;pe__konrad_grewsser_StB_I_137;m;gewiesen;;;;;;;;;;;;;;;;;;;;;
160;138;1397-04-05;pe__niklas_schaffer_StB_I_138;;weisend;;;;;;;;;;;;;;;;;;;;;
161;138;1397-04-05;pe__berthold_gevater_StB_I_136;m;witness;;;;erbere lewte;;;rat;wien;;;;;;;;;;;;;
162;138;1397-04-05;pe__ulrich_rude_StB_I_136;m;witness;;;;erbere lewte;goldschmied;;;;;;;;;;;;;;;;
163;138;1397-04-05;pe__katharina_schafferin_StB_I_138;f;gewiesen;;;jungfrau;;;;;;;;;;;;;;;;;;
164;138;1397-04-05;pe__niklas_des_hosen_sun_StB_I_136;m;gewiesen;;;;;;;;;;;;;;;;;;;;;
165;138;1397-04-05;pe__niklas_hosen_StB_I_136;m;gewiesen/other;;;;;;;;;;;;;;;;;;;;;
166;141;1397-04-12;pe__niklas_berytter_StB_I_141;m;weisend;;;;;;;;;;;;;;;;;;;;;
167;141;1397-04-12;pe__konrad_schuster_von_symanyg_StB_I_141;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
168;141;1397-04-12;pe__leopold_mannsberger_StB_I_141;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
169;141;1397-04-12;pe__johann_prewer_von_symanyng_StB_I_141;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
170;141;1397-04-12;pe__bertha_vischer_StB_I_141;f;gewiesen;;;;fraw;;;;;;;;;;;;;;;;;
171;141;1397-04-12;pe__meinhard_vischer_StB_I_134;m;gewiesen/other;dead;;;;;;;;;;;;;;;;;;;;
172;143;1397-04-12;pe__jakob_obrecht_StB_I_143;m;weisend;;;;;schuster;;;;;;;;;;;;;;;;
173;143;1397-04-12;pe__johann_chastrawn_StB_I_143;m;witness;;;;erbere lewte;fleischhacker;;;;;;;;;;;;;;;;
174;143;1397-04-12;pe__georg_schenkenmarkt_StB_I_143;m;witness;;;;erbere lewte;fleischhacker;;;;;;;;;;;;;;;;
175;143;1397-04-12;pe__margarethe_von_den_schotten_StB_I_143;f;gewiesen;;;jungfrau;;;;;;;;;;;;;;;;;;
176;143;1397-04-12;pe__ulrich_von_den_schotten_StB_I_143;m;gewiesen/other;;;;;;;;;;;;;;;;;;;;;
177;143;1397-04-12;pe__ulrich_salczmacher_StB_I_143;m;gewiesen;;;;;;;;;;;;;;;;;;;;;
178;143;1397-04-12;pe__bernhard_salzmacher_StB_I_143;m;gewiesen/other;dead;;;;salzmacher;;;;;;;;;;;;;;;;
179;144;1397-04-14;pe__andreas_amaystaler_StB_I_144;m;weisend;;;;;;;;;;;;;;;;;;;;;
180;144;1397-04-14;pe__christian_grewt_StB_I_144;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
181;144;1397-04-14;pe__peter_vorster_StB_I_144;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
182;144;1397-04-14;pe__clara_amaystalerin_StB_I_144;f;gewiesen;;;;;;;;;;;;;;;;;;;;;
183;144;1397-04-14;pe__friedrich_StB_I_144;m;gewiesen;;;;;;;;;;;;;;;;;;;;;
184;144;1397-04-14;pe__agnes_StB_I_144;f;gewiesen/other;;;;;;;;;;;;;;;;;;;;;
185;149;1397-05-17;pe__thomas_tulmetsch_StB_I_149;m;weisend;;;;;;;;;;;;;;;;;;;;;
186;149;1397-05-17;pe__friedrich_frischmann_StB_I_149;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
187;149;1397-05-17;pe__heinrich_schwarcz_StB_I_149;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
188;149;1397-05-17;pe__kunigunde_salczerin_StB_I_149;f;gewiesen;dead;;;fraw;;;;;;;;;;;;;;;;;
189;149;1397-05-17;pe__michael_salczer_StB_I_149;m;gewiesen/other;dead;;;;;;;;;;;;;;;;;;;;
190;157;1397-06-16;pe__elisabeth_ledererin_StB_I_157;f;weisend;;;;fraw;;;;;;;;;;;;;;;;;
191;157;1397-06-16;pe__georg_lederer_StB_I_157;m;weisend/other;dead;;;;lederer;;;;;;;;;;;;;;;;
192;157;1397-06-16;pe__peter_suezzprot_StB_I_157;m;witness;;;;erbere lewte;yrcher;;;;;;;;;;;;;;;;
193;157;1397-06-16;pe__niklas_nappelt_StB_I_157;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
194;157;1397-06-16;pe__johann_lederer_StB_I_157;m;gewiesen;dead;;;;lederer;;;;;;;;;;;;;;;;
195;158;1397-06-19;pe__kunigunde_oberholczerin_StB_I_158;f;weisend;;;;;;;;;;;;;;;;;;;;;
196;158;1397-06-19;pe__heinrich_oberholczer_StB_I_158;m;weisend/other;;;;;;;;;;;;;;;;;;;;;
197;158;1397-06-19;pe__ulrich_weczel_StB_I_158;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
198;158;1397-06-19;pe__peter_eisvogel_von_ort_StB_I_158;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
