ID;nr;date;persTag;sex;fn_role;dead;minor;jungfrau;title;prof;staff;off;place;org-pers;sameAs;Kommentar;;;;;;;;;;
3970;2806;1419-11-21;pe__ortolf_kronczlmacher_StB_V_2806;m;gewiesen;dead;;;;;;;;;;;;;;;;;;;;
3971;2807;1419-11-21;pe__ulrich_prenntl_StB_V_2807;m;weisend;;;;;;;;von Ringerstörff;;;;;;;;;;;;;
3972;2807;1419-11-21;pe__walchun_leinwater_StB_V_2807;m;witness;;;;erbere lewte;;;;ze Wienn;;;;;;;;;;;;;
3973;2807;1419-11-21;pe__augustin_reyttinger_StB_V_2807;m;witness;;;;erbere lewte;kürsner;;;ze Wienn;;;;;;;;;;;;;
3974;2807;1419-11-21;pe__johann_prenntl_StB_V_2807;m;gewiesen;dead;;;;pinter;;;;;;;;;;;;;;;;
3975;2807;1419-11-21;pe__tropisch_StB_V_2807;m;gewiesen/other;;;;;;;;;;;;;;;;;;;;;
3976;2814;1419-11-23;pe__wolfhard_schersmid_StB_III_1416;m;weisend;;;;;;;;;;;rep;;;;;;;;;;
3977;2814;1419-11-23;pe__stephan_schersmid_StB_V_2814;m;weisend;;;;;;;;;;;rep;;;;;;;;;;
3978;2814;1419-11-23;pe__wolfhard_koch_StB_III_1423;m;weisend/rep;;;;;;;;;;;;;;;;;;;;;
3979;2814;1419-11-23;pe__simon_zyngieser_StB_V_2814;m;witness;;;;erbere lewte;;;;ze Wienn;;;;;;;;;;;;;
3980;2814;1419-11-23;pe__straiffing_zingiesser_StB_V_2814;m;witness;;;;erbere lewte;;;;ze Wienn;;;;;;;;;;;;;
3981;2814;1419-11-23;pe__peter_schersmid_StB_I_548;m;gewiesen;dead;;;;;;;;;;;;;;;;;;;;
3982;2815;1419-11-23;pe__katharina_drepekchin_StB_V_2815;f;weisend;;;;;;;;;;;rep;;;;;;;;;;
3983;2815;1419-11-23;pe__konrad_drepekch_StB_V_2815;m;weisend/other;;;;;;;;;;;;;;;;;;;;;
3984;2815;1419-11-23;pe__michael_drepekch_StB_V_2815;m;weisend/rep;;minor;;;;;;;;;;;;;;;;;;;
3985;2815;1419-11-23;pe__ulrich_drepekch_StB_V_2815;m;weisend/rep;;minor;;;;;;;;;;;;;;;;;;;
3986;2815;1419-11-23;pe__johann_drepekch_StB_V_2815;m;weisend/rep;;minor;;;;;;;;;;;;;;;;;;;
3987;2815;1419-11-23;pe__niklas_underm_himel_StB_V_2690;m;witness;;;;erbere lewte;;;rat_rat-wien;;;;;;;;;;;;;;
3988;2815;1419-11-23;pe__niklas_edelparcz_StB_III_1476;m;witness;;;;erbere lewte;;;rat_rat-wien;;;;;;;;;;;;;;
3989;2815;1419-11-23;pe__dorothea_huberin_StB_V_2815;f;gewiesen;dead;;;;;;;;;;;;;;;;;;;;
3990;2816;1419-11-23;pe__jakob_von_velach_StB_V_2816;m;weisend;;;;;;;;;;;rep;;;;;;;;;;
3991;2816;1419-11-23;pe__mechthild_von_velach_StB_V_2816;f;weisend/rep;;;;;;;;;;;;;;;;;;;;;
3992;2816;1419-11-23;pe__stephan_poll_StB_III_1307;m;witness;;;;erbere lewte;;;rat_rat-wien;;;;QGW Uhlirz: Stephan III Poll_S. 496 mitte unten;;;;;;;;;;
3993;2816;1419-11-23;pe__niklas_underm_himel_StB_V_2690;m;witness;;;;erbere lewte;;;rat_rat-wien;;;;;;;;;;;;;;
3994;2816;1419-11-23;pe__johann_vischpekch_StB_V_2816;m;gewiesen;;;;;;;;;;;;;;;;;;;;;
3995;2817;1419-11-23;pe__katharina_vischerin_StB_V_2817;f;weisend;;;;;;;;;;;;;;;;;;;;;
3996;2817;1419-11-23;pe__niklas_vischer_StB_V_2817;m;weisend/other;;;;;;;;;;;;;;;;;;;;;
3997;2817;1419-11-23;pe__paul_wurffl_StB_V_2817;m;witness;;;;erbere lewte;;;rat_rat-wien;;;;;;;;;;;;;;
3998;2817;1419-11-23;pe__erhard_egk_StB_V_2817;m;witness;;;;erbere lewte_buerger_buerger-wien;;;;;;;;;;;;;;;;;
3999;2817;1419-11-23;pe__johann_goldsmid_StB_V_2817;m;gewiesen;;;;;;;;von Furt;;;;;;;;;;;;;
4000;2819;1419-11-23;pe__anna_tullnerin_StB_V_2819;f;weisend;;;;;;;;;;;;;;;;;;;;;
4001;2819;1419-11-23;pe__thomas_tullner_StB_IV_2405;m;weisend/other;dead;;;;;;;;;;;;;;;;;;;;
4002;2819;1419-11-23;pe__philipp_kuefuesser_StB_V_2819;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
4003;2819;1419-11-23;pe__heinrich_von_ort_StB_V_2819;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
4004;2819;1419-11-23;pe__dorothea_olmanspergerin_StB_V_2819;f;gewiesen;dead;;;;;;;;;;;;;;;;;;;;
4005;2819;1419-11-23;pe__jakob_olmansperger_StB_V_2819;m;gewiesen/other;;;;;;;;;;;;;;;;;;;;;
4006;2823;1419-11-28;pe__elisabeth_starkchin_StB_V_2823;f;weisend;;;;;;;;;;;;;;;;;;;;;
4007;2823;1419-11-28;pe__heinrich_starkch_StB_V_2823;m;weisend/other;;;;;;;;;;;;;;;;;;;;;
4008;2823;1419-11-28;pe__johann_mauttner_StB_V_2823;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
4009;2823;1419-11-28;pe__heinrich_tolfues_StB_V_2749;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
4010;2823;1419-11-28;pe__niklas_pirpawm_StB_V_2823;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
4011;2823;1419-11-28;pe__georg_newer_StB_IV_1991;m;gewiesen;dead;;;;;;;;;;;;;;;;;;;;
4012;2832;1419-12-09;pe__katharina_wurmin_StB_V_2832;f;weisend;;;;;;;;;;;;;;;;;;;;;
4013;2832;1419-12-09;pe__andreas_wurm_StB_V_2832;m;weisend/other;;;;;;;;;;;;;;;;;;;;;
4014;2832;1419-12-09;pe__bernhard_keppl_StB_V_2832;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
4015;2832;1419-12-09;pe__johann_odenburger_StB_V_2832;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
4016;2832;1419-12-09;pe__katharina_sneiderin_StB_V_2832;f;gewiesen;;;;;;;;;;;;;;;;;;;;;
4017;2832;1419-12-09;pe__ulrich_sneider_StB_V_2832;m;gewiesen/other;dead;;;;;;;;;;;;;;;;;;;;
4018;2833;1419-12-09;pe__ulrich_wachsgiesser_StB_V_2833;m;weisend;;;;her;;;kaplan;;Unser Lieben Frawn auf der Stetten;;;;;;;;;;;;
4019;2833;1419-12-09;pe__martin_wachsgiesser_StB_II_1084;m;weisend/other;;;;;;;;;;;;;;;;;;;;;
4020;2833;1419-12-09;pe__friedrich_resch_StB_IV_1946;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
4021;2833;1419-12-09;pe__gebhard_pawngartner_StB_V_2833;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
4022;2833;1419-12-09;pe__katharina_waiczin_StB_V_2833;f;gewiesen;;;;;;;;;;;;;;;;;;;;;
4023;2833;1419-12-09;pe__peter_waicz_StB_V_2833;m;gewiesen/other;dead;;;;;;;;;;;;;;;;;;;;
4024;2836;1419-12-14;pe__niklas_reyndl_StB_V_2836;m;weisend;;;;;;;;von Nustörf;;;;;;;;;;;;;
4025;2836;1419-12-14;pe__johann_eysenkolb_StB_V_2836;m;witness;;;;erbere lewte;;;;von Nustörf;;;;;;;;;;;;;
4026;2836;1419-12-14;pe__niklas_linczer_StB_V_2836;m;witness;;;;erbere lewte;;;;von Nustörf;;;;;;;;;;;;;
4027;2836;1419-12-14;pe__anna_sperrenpewtlin_StB_V_2753;f;gewiesen;;;;;;;;;;;;;;;;;;;;;
4028;2836;1419-12-14;pe__johann_sperrenpewtl_StB_V_2753;m;gewiesen/other;dead;;;;;;;;;;;;;;;;;;;;
4029;2841;1419-12-14;pe__margarethe_von_dresing_StB_V_2841;f;weisend;;;;;;;;;;;;;;;;;;;;;
4030;2841;1419-12-14;pe__thomas_von_dresing_StB_V_2841;m;weisend/other;;;;;;;;von Pokflies;;;;;;;;;;;;;
4031;2841;1419-12-14;pe__philipp_loner_StB_V_2841;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
4032;2841;1419-12-14;pe__jakob_churcz_StB_V_2841;m;witness;;;;erbere lewte;;;;vör Schottentör ze Wienn,;;;;;;;;;;;;;
4033;2841;1419-12-14;pe__johann_kreschnikch_StB_V_2841;m;gewiesen;dead;;;;;;;pey Sand Larenczen gesessen;;;;;;;;;;;;;
4034;2850;1419-12-16;pe__erhard_godinger_StB_V_2850;m;weisend;;;;;;;;;;;;;;;;;;;;;
4035;2850;1419-12-16;pe__lukas_godinger_StB_V_2850;m;weisend;;;;;;;;;;;;;;;;;;;;;
4036;2850;1419-12-16;pe__margarethe_aspergerin_StB_V_2850;f;weisend/other;;;;;;;;;;;;;;;;;;;;;
4037;2850;1419-12-16;pe__heinrich_asperger_StB_V_2850;m;weisend/other;;;;;;;;;;;;;;;;;;;;;
4038;2850;1419-12-16;pe__christian_von_susato_StB_V_2850;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
4039;2850;1419-12-16;pe__niklas_edelparcz_StB_III_1476;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
4040;2850;1419-12-16;pe__dorothea_volkrain_StB_IV_2449;f;gewiesen;dead;minor;jungfrau;;;;;;;;;;;;;;;;;;
4041;2850;1419-12-16;pe__eberhard_volkra_StB_IV_2449;m;gewiesen/other;;;;;;;;;;;;;;;;;;;;;
4042;2855;1419-12-16;pe__laurenz_kerindhell_StB_V_2855;m;weisend;;;;;;;;ze Wienn;;;;;;;;;;;;;
4043;2855;1419-12-16;pe__johann_tewfl_StB_V_2855;m;witness;;;;erbere lewte;;;;vor Kernertör auf der Widem ze Wienn;;;;;;;;;;;;;
4044;2855;1419-12-16;pe__oswald_karirer_StB_V_2855;m;witness;;;;erbere lewte;;;;vor Kernertör auf der Widem ze Wienn;;;;;;;;;;;;;
4045;2855;1419-12-16;pe__wilhelm_leitgeb_StB_V_2855;m;gewiesen;;;;;;leitgeb;;;bey den Dewtschen Herrn;;;;;;;;;;;;
4046;2856;1419-12-16;pe__leopold_rat_StB_V_2856;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
4047;2856;1419-12-16;pe__matthias_menhart_StB_V_2856;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
4048;2856;1419-12-16;pe__andreas_mullner_StB_V_2856;m;gewiesen;;;;;;;;;;;;;;;;;;;;;
4049;2856;1419-12-16;pe__christian_mullner_StB_V_2856;m;gewiesen/other;dead;;;;;;;an der Spitalmull ;;;;;;;;;;;;;
4050;2856;1419-12-16;pe__anna_lainpekchin_StB_V_2856;f;gewiesen;;;;;;;;;;;;;;;;;;;;;
4051;2856;1419-12-16;pe__ulrich_lainpekch_StB_V_2856;m;gewiesen/other;;;;;;;;gesessen hincz der Heiligen Stat;;;;;;;;;;;;;
4052;2856;1419-12-16;pe__katharina_lainpekchin_StB_V_2856;f;gewiesen/other;dead;;;;;;;;;;;;;;;;;;;;
4053;2857;1419-12-16;pe__christine_sneyderin_StB_V_2857;f;weisend;;;;;;;;;;;;;;;;;;;;;
4054;2857;1419-12-16;pe__michael_sneyder_StB_V_2857;m;weisend/other;;;;;;;;von Lach;;;;;;;;;;;;;
4055;2857;1419-12-16;pe__helena_rosterin_StB_V_2857;f;weisend;;;;;;;;;;;;;;;;;;;;;
4056;2857;1419-12-16;pe__niklas_roster_StB_V_2857;m;weisend/other;;;;;;;;von Sannd Veyt;;;;;;;;;;;;;
4057;2857;1419-12-16;pe__jakob_wuechsler_StB_V_2857;m;witness;;;;erbere lewte;;;;von Mewrling;;;;;;;;;;;;;
4058;2857;1419-12-16;pe__martin_auf_dem_pach_StB_V_2857;m;witness;;;;erbere lewte;;;;von Mewrling;;;;;;;;;;;;;
4059;2857;1419-12-16;pe__niklas_von_mewrling_StB_I_349;m;gewiesen;dead;;;;;;;;;;;;;;;;;;;;
4060;2860;1419-12-19;pe__anna_zechentner_StB_V_2860;f;weisend;;;;;;;;;;;;;;;;;;;;;
4061;2860;1419-12-19;pe__johann_zechentner_StB_V_2860;m;weisend/other;;;;;;;;von Sand Ulrich;;;;;;;;;;;;;
4062;2860;1419-12-19;pe__niklas_satler_StB_V_2860;m;witness;;;;erbere lewte;;;;ze Wienn;;;;;;;;;;;;;
4063;2860;1419-12-19;pe__michael_satler_StB_V_2860;m;witness;;;;erbere lewte;;;;ze Wienn;;;;;;;;;;;;;
4064;2860;1419-12-19;pe__paul_satler_StB_V_2860;m;gewiesen;;;;;;;;am alten Kollmarkt ze Wienn;;;;;;;;;;;;;
4065;2861;1419-12-19;pe__johann_dechsenpekch_StB_V_2861;m;weisend;;;;;;;;;;;;;;;;;;;;;
4066;2861;1419-12-19;pe__jakob_dechsenpekch_StB_V_2861;m;weisend;;;;;;;;von Paden Newsidel;;;rep;;;;;;;;;;
4067;2861;1419-12-19;pe__barbara_dechsenpekchin_StB_V_2861;f;weisend/rep;;;jungfrau;;;;;;;;;;;;;;;;;;
4068;2861;1419-12-19;pe__elisabeth_dechsenpekchin_StB_V_2861;f;weisend/rep;;;jungfrau;;;;;;;;;;;;;;;;;;
4069;2861;1419-12-19;pe__johann_pharrer_StB_V_2861;m;witness;;;;erbere lewte_herr;;;;ze Egkartsaw;;;;;;;;;;;;;
4070;2861;1419-12-19;pe__martin_leubman_StB_V_2861;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
4071;2861;1419-12-19;pe__katharina_satlerin_StB_V_2861;f;gewiesen;;;;;;;;;;;;;;;;;;;;;
4072;2861;1419-12-19;pe__paul_satler_StB_V_2860;m;gewiesen/other;;;;;;;;;;;;;;;;;;;;;
4073;2862;1419-12-19;pe__margarethe_auf_dem_goczacker_StB_V_2862;f;weisend;;;;;;;;;;;;;;;;;;;;;
4074;2862;1419-12-19;pe__konrad_auf_dem_goczacker_StB_V_2862;m;weisend/other;;;;purger ;;;;ze Wienn;;;;;;;;;;;;;
4075;2862;1419-12-19;pe__leopold_rat_StB_V_2856;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
4076;2862;1419-12-19;pe__thomas_ollm_StB_V_2862;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
4077;2862;1419-12-19;pe__erhard_chrell_StB_V_2862;m;gewiesen;;;;;;;;;;;;;;;;;;;;;
4078;2862;1419-12-19;pe__matthias_chrell_StB_IV_2501;m;gewiesen/other;;;;;;;;;;;;;;;;;;;;;
4079;2874;1420-01-16;pe__georg_goschl_StB_V_2874;m;weisend;;;;;;;;vön Herestorf;;;;;;;;;;;;;
4080;2874;1420-01-16;pe__stephan_newkum_StB_V_2874;m;witness;;;;erbere lewte;;;;von Herestorf;;;;;;;;;;;;;
4081;2874;1420-01-16;pe__johann_klemphel_StB_V_2874;m;witness;;;;erbere lewte;;;;von Herestorf;;;;;;;;;;;;;
4082;2874;1420-01-16;pe__wolfhard_wolf_StB_V_2874;m;gewiesen;dead;;;;;;;;;;;;;;;;;;;;
4083;2880;1420-01-23;pe__johann_schonhawer_StB_V_2880;m;witness;;;;erbere lewte_buerger_buerger-wien;;;;;;;;;;;;;;;;;
4084;2880;1420-01-23;pe__peter_strasser_StB_V_2880;m;witness;;;;erbere lewte_buerger_buerger-wien;;;;;;;;;;;;;;;;;
4085;2880;1420-01-23;pe__johann_prantesser_StB_V_2880;m;gewiesen;;;;;;;;;;;;;;;;;;;;;
4086;2880;1420-01-23;pe__niklas_prantesser_StB_V_2880;m;gewiesen;;;;;;;;;;;;;;;;;;;;;
4087;2880;1420-01-23;pe__friedrich_prantesser_StB_V_2880;m;gewiesen/other;;;;;;;;;;;;;;;;;;;;;
4088;2880;1420-01-23;pe__philipp_prantesser_StB_V_2880;m;gewiesen;;;;herr;;;;;das den Dewtschen Herren ze Wienn;;;;;;;;;;;;
4089;2881;1420-01-23;pe__katharina_stadelin_StB_V_2881;f;weisend;;;;;;;;;;;;;;;;;;;;;
4090;2881;1420-01-23;pe__michael_stadel_StB_V_2881;m;weisend/other;;;;;;;;;;;;;;;;;;;;;
4091;2881;1420-01-23;pe__georg_hag_StB_V_2749;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
4092;2881;1420-01-23;pe__philipp_kuefuesser_StB_V_2819;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
4093;2881;1420-01-23;pe__anna_sperrenpewtlin_i_StB_V_2881;f;gewiesen;dead;;;;;;;;;;;;;;;;;;;;
4094;2881;1420-01-23;pe__johann_sperrenpewtl_StB_V_2753;m;gewiesen/other;dead;;;;;;;;;;;;;;;;;;;;
4095;2883;1420-01-23;pe__elisabeth_panczawnin_StB_IV_2398;f;weisend;;;;;;;;;;;;;;;;;;;;;
4096;2883;1420-01-23;pe__johann_panczawn_StB_IV_2398;m;weisend/other;;;;;;;;;;;;;;;;;;;;;
4097;2883;1420-01-23;pe__andreas_poudweys_StB_V_2883;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
4098;2883;1420-01-23;pe__heinrich_taschner_StB_V_2883;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
4099;2883;1420-01-23;pe__johann_meichsner_ii_StB_V_2883;m;gewiesen;dead;minor;;;;;;;;;;;;;;;;;;;
4100;2883;1420-01-23;pe__johann_meichsner_StB_IV_2398;m;gewiesen/other;;;;;weinschenkchen;;;;;;;;;;;;;;;;
4101;2887;1420-01-23;pe__elisabeth_helhenstainin_StB_V_2887;f;weisend;;;;;;;;;;;;;;;;;;;;;
4102;2887;1420-01-23;pe__friedrich_helhenstein_StB_V_2887;m;weisend/other;;;;;;;;;;;;;;;;;;;;;
4103;2887;1420-01-23;pe__martin_von_dexing_i_StB_V_2887;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
4104;2887;1420-01-23;pe__martin_von_dexing_StB_V_2887;m;witness;;;;erbere lewte;ze Hindperg;;;;;;;;;;;;;;;;
4105;2887;1420-01-23;pe__jakob_von_dexing_StB_V_2887;m;gewiesen;;;;;;;;;;;;;;;;;;;;;
4106;2890;1420-01-27;pe__margarethe_tannerin_StB_V_2890;f;weisend;;;;;;;;;;;;;;;;;;;;;
4107;2890;1420-01-27;pe__albrecht_tanner_StB_V_2890;m;weisend/other;;;;;;;;von Purkchartstorf;;;;;;;;;;;;;
4108;2890;1420-01-27;pe__peter_suss_StB_V_2890;m;witness;;;;erbere lewte;;;;von Purkchartstorf;;;;;;;;;;;;;
4109;2890;1420-01-27;pe__johann_rosmagen_StB_V_2890;m;witness;;;;erbere lewte;;;;von Purkchartstorf;;;;;;;;;;;;;
4110;2890;1420-01-27;pe__elisabeth_cholerin_StB_V_2890;f;gewiesen;dead;;;;;;;;;;;;;;;;;;;;
4111;2890;1420-01-27;pe__konrad_choler_StB_V_2890;m;gewiesen/other;;;;;;;;;;;;;;;;;;;;;
4112;2894;1420-01-30;pe__katharina_pergerin_StB_V_2894;f;weisend;;;;;;;;;;;;;;;;;;;;;
4113;2894;1420-01-30;pe__ulrich_perger_StB_V_2894;m;weisend/other;dead;;;;;;;;;;;;;;;;;;;;
4114;2894;1420-01-30;pe__ulrich_capplan_StB_V_2894;m;witness;;;;erbere lewte_herr;;;kaplan;;Unser Frawn auf der Stetten;;;;;;;;;;;;
4115;2894;1420-01-30;pe__konrad_pewrl_StB_V_2894;m;witness;;;;erbere lewte;;;;von Tullen;;;;;;;;;;;;;
4116;2894;1420-01-30;pe__heinrich_mit_der_myml_StB_V_2894;m;gewiesen;;;;;;;;;;;;;;;;;;;;;
4117;2894;1420-01-30;pe__katharina_mit_der_myml_StB_V_2894;f;gewiesen;dead;;;;;;;;;;;;;;;;;;;;
4118;2895;1420-01-30;pe__ursula_pruemaisterin_StB_V_2895;f;weisend;;;;;;;;;;;;;;;;;;;;;
4119;2895;1420-01-30;pe__martin_pruemaister_StB_V_2895;m;weisend/other;dead;;;;;;;;;;;;;;;;;;;;
4120;2895;1420-01-30;pe__paul_wagendrussel_StB_I_479;m;witness;;;;erbere lewte_buerger_buerger-wien;;;;;;;QGE Uhlirz 1 583_Uhlirz 2 513;;;;;;;;;;
4121;2895;1420-01-30;pe__georg_hag_StB_V_2749;m;witness;;;;erbere lewte_buerger_buerger-wien;;;;;;;;;;;;;;;;;
4122;2895;1420-01-30;pe__johann_pruemaister_StB_V_2895;m;gewiesen;;;;;;;;;;;;;;;;;;;;;
4123;2900;1420-02-01;pe__heinrich_verber_StB_V_2900;m;weisend;;;;;;;;;;;;;;;;;;;;;
4124;2900;1420-02-01;pe__niklas_underm_himel_StB_V_2690;m;witness;;;;erbere lewte;;;rat_rat-wien;;;;;;;;;;;;;;
4125;2900;1420-02-01;pe__andreas_verber_StB_V_2900;m;witness;;;;erbere lewte;;;rat_rat-wien;;;;;;;;;;;;;;
4126;2900;1420-02-01;pe__michael_menschein_ii_StB_V_2900;m;gewiesen;dead;minor;;;;;;;;;;;;;;;;;;;
4127;2900;1420-02-01;pe__michael_menschein_StB_IV_2184;m;gewiesen/other;;;;;;;;;;;;;;;;;;;;;
4128;2905;1420-02-08;pe__dorothea_glaserin_StB_V_2905;f;weisend;;;;;;;;;;;;;;;;;;;;;
4129;2905;1420-02-08;pe__leonhard_glaser_StB_V_2905;m;weisend/other;;;;;;;;;;;;;;;;;;;;;
4130;2905;1420-02-08;pe__johann_abian_StB_V_2905;m;witness;;;;erbere lewte_buerger_buerger-wien;;;;;;;;;;;;;;;;;
4131;2905;1420-02-08;pe__jakob_schafswol_StB_V_2905;m;witness;;;;erbere lewte_buerger_buerger-wien;;;;;;;;;;;;;;;;;
4132;2905;1420-02-08;pe__wolfhard_newer_StB_V_2905;m;gewiesen;;;;;;;;;;;;;;;;;;;;;
4133;2906;1420-02-08;pe__susanne_hagerin_StB_V_2906;f;weisend;;;;;;;;;;;;;;;;;;;;;
4134;2906;1420-02-08;pe__johann_hager_StB_V_2906;m;weisend/other;;;;;kursner;;;;;;;;;;;;;;;;
4135;2906;1420-02-08;pe__erhard_egk_StB_V_2817;m;witness;;;;erbere lewte;;;rat_rat-wien;;;;;;;;;;;;;;
4136;2906;1420-02-08;pe__friedrich_sachs_StB_V_2906;m;witness;;;;erbere lewte_buerger_buerger-wien;;;;;;;;;;;;;;;;;
4137;2906;1420-02-08;pe__niklas_newnburkch_StB_V_2906;m;gewiesen;;;;;;;;;;;;;;;;;;;;;
4138;2912;1420-02-13;pe__andreas_wolfsoler_StB_V_2912;m;weisend;;;;;;;;;;;;;;;;;;;;;
4139;2912;1420-02-13;pe__otto_syedinkcher_StB_V_2912;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
4140;2912;1420-02-13;pe__niklas_schekrer_StB_V_2912;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
4141;2912;1420-02-13;pe__kunigunde_von_waltersdorf_StB_V_2912;f;gewiesen;;;;;;;;;;;;;;;;;;;;;
4142;2912;1420-02-13;pe__rudolf_von_waltersdorf_StB_V_2912;m;gewiesen/other;dead;;;;;;;;;;;;;;;;;;;;
4143;2914;1420-02-15;pe__kaspar_von_senging_StB_V_2914;m;weisend;;;;;;;;von Senging;;;;;;;;;;;;;
4144;2914;1420-02-15;pe__heinrich_leinbater_StB_V_2593;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
4145;2914;1420-02-15;pe__johann_sneider_StB_V_2914;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
4146;2914;1420-02-15;pe__georg_sneider_StB_V_2914;m;gewiesen;;;;;;;;von Senging;;;;;;;;;;;;;
4147;2914;1420-02-15;pe__melchior_tuchscherer_StB_V_2914;m;gewiesen;;;;;;;;von Senging_ze Wienn;;;;;;;;;;;;;
4148;2919;1420-02-29;pe__andreas_kestler_StB_V_2919;m;weisend;;;;;;;;;;;;;;;;;;;;;
4149;2919;1420-02-29;pe__jakob_chestler_StB_V_2919;m;weisend/other;dead;;;;;;;;;;;;;;;;;;;;
4150;2919;1420-02-29;pe__jakob_von_steyr_StB_V_2560;m;witness;;;;erbere lewte;pekch;;;ze Wienn;;;;;;;;;;;;;
4151;2919;1420-02-29;pe__martin_progentl_StB_V_2919;m;witness;;;;erbere lewte;pekch;;;ze Wienn;;;;;;;;;;;;;
4152;2919;1420-02-29;pe__johann_wekcherl_StB_V_2919;m;gewiesen;;;;;;;;;;;;;;;;;;;;;
4153;2919;1420-02-29;pe__wekcherlein_StB_V_2919;m;gewiesen/other;;;;;;;;;;;;;;;;;;;;;
4154;2922;1420-03-02;pe__friedrich_maysterer_StB_V_2922;m;weisend;;;;buerger_buerger-wien;;;;;;;rep;;;;;;;;;;
4155;2922;1420-03-02;pe__anna_sybenhierterin_StB_V_2922;f;weisend/rep;;;jungfrau;;;;;;;;;;;;;;;;;;
4156;2922;1420-03-02;pe__hermann_sybenhierter_StB_V_2922;m;weisend/other;;;;;;;;;;;;;;;;;;;;;
4157;2922;1420-03-02;pe__ulrich_kerner_StB_V_2922;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
4158;2922;1420-03-02;pe__konrad_sneider_StB_V_2922;m;witness;;;;erbere lewte;;schneider;;;herczog Albrechts;;;;;;;;;;;;
4159;2922;1420-03-02;pe__elisabeth_von_walterstorf_StB_IV_2125;f;gewiesen;;;;;;;;;;;;;;;;;;;;;
4160;2922;1420-03-02;pe__rudolf_von_walterstorf_StB_IV_2125;m;gewiesen/other;dead;;;;;;;;;;;;;;;;;;;;
4161;2923;1420-03-02;pe__peter_von_menherstorf_StB_V_2923;m;weisend;;;;buerger_buerger-wien;ryemör;;;;;;rep;;;;;;;;;;
4162;2923;1420-03-02;pe__margarethe_von_menherstorf_StB_V_2923;f;weisend/rep;;;;;;;;;;;;;;;;;;;;;
4163;2923;1420-03-02;pe__niklas_weilhart_StB_V_2923;m;witness;;;;erbere lewte;ryemer;;;ze Wienn;;;;;;;;;;;;;
4164;2923;1420-03-02;pe__andreas_prenner_StB_V_2923;m;witness;;;;erbere lewte;ryemer;;;ze Wienn;;;;;;;;;;;;;
4165;2923;1420-03-02;pe__johann_schersmidt_StB_V_2923;m;gewiesen;dead;;;;;;;;;;;;;;;;;;;;
4166;2923;1420-03-02;pe__peter_schersmidt_StB_V_2923;m;gewiesen/other;;;;;;;;;;;;;;;;;;;;;
4167;2924;1420-03-02;pe__heinrich_lang_StB_V_2924;m;weisend;;;;;;;;von Nörling;;;;;;;;;;;;;
4168;2924;1420-03-02;pe__konrad_seglawer_StB_V_2924;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
4169;2924;1420-03-02;pe__johann_stauffer_StB_V_2924;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
4170;2924;1420-03-02;pe__johann_weiss_StB_IV_2475;m;gewiesen;dead;;;;;;;;;;;;;;;;;;;;
4171;2930;1420-03-07;pe__johann_stirling_StB_V_2930;m;weisend;;;;;lederer;;;von Zistersdörf;;;;;;;;;;;;;
4172;2930;1420-03-07;pe__simon_ledrer_StB_V_2930;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
4173;2930;1420-03-07;pe__friedrich_gemaytel_StB_V_2930;m;witness;;;;erbere lewte;irher;;;;;;;;;;;;;;;;
4174;2930;1420-03-07;pe__martin_stirling_StB_V_2930;m;gewiesen;;;;;;;;;;;;;;;;;;;;;
4175;2930;1420-03-07;pe__katharina_stirlingin_StB_V_2930;f;gewiesen;dead;;;;;;;;;;;;;;;;;;;;
4176;2931;1420-03-07;pe__peter_fleischakcher_StB_V_2931;m;weisend;;;;;;;;von Lach;;;rep;;;;;;;;;;
