ID,nr,date,persTag,sex,fn_role
317,312,1398-11-12,pe__siegfried_schuster_von_tulln_StB_I_312,m,weisend
318,312,1398-11-12,pe__johann_slozzer_StB_I_312,m,witness
319,312,1398-11-12,pe__peter_von_kirichperkch_StB_I_312,m,witness
320,312,1398-11-12,pe__peter_diener_StB_I_312,m,gewiesen
321,312,1398-11-12,pe__anton_wundarzt_StB_I_312,m,gewiesen/other
322,312,1398-11-12,pe__bartholomaeus_schuster_StB_I_312,m,gewiesen
323,312,1398-11-12,pe__cecilie_gugelin_StB_I_312,f,gewiesen
324,312,1398-11-12,pe__stephan_gugel_StB_I_312,m,gewiesen/other
325,313,1398-11-13,pe__peter_herman_StB_I_313,m,weisend
326,313,1398-11-13,pe__jakob_puchfeler_StB_I_313,m,weisend
327,313,1398-11-13,pe__peter_prager_StB_I_313,m,witness
328,313,1398-11-13,pe__heinrich_puchfeler_StB_I_313,m,witness
329,313,1398-11-13,pe__margarethe_puchfelerin_StB_I_313,f,gewiesen
330,313,1398-11-13,pe__hermann_puchfeler_StB_I_313,m,gewiesen/other
331,313,1398-11-13,pe__elisabeth_hubschensprung_StB_I_313,f,gewiesen
332,313,1398-11-13,pe__michael_hubschensprung_StB_I_313,m,gewiesen/other
333,313,1398-11-13,pe__peter_puchfeler_StB_I_313,m,gewiesen
334,318,1398-12-10,pe__georg_zwickhel_StB_I_318,m,weisend
335,318,1398-12-10,pe__andreas_ragczer_StB_I_318,m,witness
336,318,1398-12-10,pe__heinrich_gewchnecht_StB_I_318,m,witness
337,318,1398-12-10,pe__niklas_zwikchel_StB_I_318,m,gewiesen
338,319,1398-12-10,pe__anna_kernerin_StB_I_319,f,weisend
339,319,1398-12-10,pe__heinrich_kerner_StB_I_319,m,weisend/other
340,319,1398-12-10,pe__ulrich_nustorffer_StB_I_319,m,witness
341,319,1398-12-10,pe__johann_ellent_StB_I_319,m,witness
342,319,1398-12-10,pe__paul_strewchl_StB_I_319,m,gewiesen
343,319,1398-12-10,pe__kunigunde_eisnerin_StB_I_319,f,gewiesen
344,319,1398-12-10,pe__peter_eisner_StB_I_319,m,gewiesen/other
345,319,1398-12-10,pe__siegfried_strewchl_StB_I_319,m,gewiesen/other
346,320,1398-12-10,pe__margarethe_trawsennichtin_StB_I_320,f,weisend
347,320,1398-12-10,pe__niklas_trawsennicht_StB_I_320,m,weisend/other
348,320,1398-12-10,pe__michael_harrant_StB_I_320,m,witness
349,320,1398-12-10,pe__georg_pawngartner_StB_I_320,m,witness
350,320,1398-12-10,pe__stephan_wachsgiezzer_StB_I_320,m,gewiesen
351,321,1398-12-10,pe__anna_taschnerin_StB_I_321,f,weisend
352,321,1398-12-10,pe__jakob_taschner_StB_I_321,m,weisend/other
353,321,1398-12-10,pe__niklas_von_gelestorf_StB_I_321,m,witness
354,321,1398-12-10,pe__niklas_fleischhakcher_von_gelestorf_StB_I_321,m,witness
355,321,1398-12-10,pe__konrad_swebel_StB_I_321,m,gewiesen
356,321,1398-12-10,pe__kunigunde_wachsgiesserin_StB_I_321,f,gewiesen
357,321,1398-12-10,pe__stephan_wachsgiezzer_StB_I_320,m,gewiesen/other
358,340,1399-01-30,pe__katharina_sneyderin_StB_I_340,f,weisend
359,340,1399-01-30,pe__augustin_sneyder_StB_I_340,m,weisend/other
360,340,1399-01-30,pe__ortolf_von_mayring_StB_I_340,m,gewiesen
361,341,1399-01-30,pe__wolfhard_pader_von_trautmannsdorf_StB_I_341,m,weisend
362,341,1399-01-30,pe__jakob_pader_des_herzogs_StB_I_341,m,witness
363,341,1399-01-30,pe__otto_pader_StB_I_341,m,witness
364,341,1399-01-30,pe__margarethe_von_waydhofen_StB_I_341,f,gewiesen
365,341,1399-01-30,pe__niklas_von_waydhofen_StB_I_341,m,gewiesen/other
